Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Measurables,Migration Difficulty
Kiki Vandeweghe,vandeki01,NBA,1982-83,Europe,Germany,Wiesbaden,74,,,,37.0
Pau Gasol,gasolpa01,NBA,2009-10,Europe,Spain,Barcelona,74,,,,22.0
Manu Ginóbili,ginobma01,NBA,2004-05,South America,Argentina,Bahia Blanca,74,,,,26.0
Tim Duncan,duncati01,NBA,2009-10,North America,United States Virgin Islands,St. Croix,73,,,,3.0
Patrick Ewing,ewingpa01,NBA,1988-89,North America,Jamaica,Kingston,73,,,,3.0
Dirk Nowitzki,nowitdi01,NBA,2008-09,Europe,Germany,Wurzburg,73,,,,37.0
Steve Nash,nashst01,NBA,2004-05,Africa,South Africa,Johannesburg,73,,,,16.0
Hakeem Olajuwon,olajuha01,NBA,1986-87,Africa,Nigeria,Lagos,73,,,,10.0
Dirk Nowitzki,nowitdi01,NBA,2013-14,Europe,Germany,Wurzburg,73,,,,37.0
Al Horford,horfoal01,NBA,2009-10,North America,Dominican Republic,Puerto Plata,73,,,,17.0
Tim Duncan,duncati01,NBA,2005-06,North America,United States Virgin Islands,St. Croix,73,,,,3.0
Kiki Vandeweghe,vandeki01,NBA,1986-87,Europe,Germany,Wiesbaden,23,,,,37.0
Dominique Wilkins,wilkido01,NBA,1985-86,Europe,France,Paris,73,,,,22.0
Clint Capela,capelca01,NBA,2018-19,Europe,Switzerland,Geneva,23,,,,37.0
Nenê,hilarne01,NBA,2009-10,South America,Brazil,Sao Carlos,23,,,,24.0
Dikembe Mutombo,mutomdi01,NBA,1997-98,Africa,DR Congo,Kinshasa,73,,,,57.0
Hakeem Olajuwon,olajuha01,NBA,1994-95,Africa,Nigeria,Lagos,73,,,,10.0
Rudy Gobert,goberru01,NBA,2019-20,Europe,France,Saint-Quentin,73,,,,22.0
Nikola Jokić,jokicni01,NBA,2017-18,Europe,Serbia,Sombor,23,,,,68.0
Yao Ming,mingya01,NBA,2004-05,Asia,China,Shanghai,73,,,,87.0
Hakeem Olajuwon,olajuha01,NBA,1987-88,Africa,Nigeria,Lagos,73,,,,10.0
Patrick Ewing,ewingpa01,NBA,1992-93,North America,Jamaica,Kingston,73,,,,3.0
Yao Ming,mingya01,NBA,2008-09,Asia,China,Shanghai,73,,,,87.0
Manu Ginóbili,ginobma01,NBA,2006-07,South America,Argentina,Bahia Blanca,23,,,,26.0
Dominique Wilkins,wilkido01,NBA,1992-93,Europe,France,Paris,73,,,,22.0
Steve Nash,nashst01,NBA,2007-08,Africa,South Africa,Johannesburg,73,,,,16.0
James Donaldson,donalja01,NBA,1986-87,Europe,United Kingdom,Heacham,23,,,,6.0
Pau Gasol,gasolpa01,NBA,2014-15,Europe,Spain,Barcelona,73,,,,22.0
Detlef Schrempf,schrede01,NBA,1997-98,Europe,Germany,Leverkusen,23,,,,37.0
Detlef Schrempf,schrede01,NBA,1992-93,Europe,Germany,Leverkusen,73,,,,37.0
Kyrie Irving,irvinky01,NBA,2014-15,Oceania,Australia,Melbourne,73,,,,15.0
Dominique Wilkins,wilkido01,NBA,1988-89,Europe,France,Paris,73,,,,22.0
Goran Dragić,dragigo01,NBA,2013-14,Europe,Slovenia,Ljubljana,22,,,,68.0
Kiki Vandeweghe,vandeki01,NBA,1983-84,Europe,Germany,Wiesbaden,72,,,,37.0
Clint Capela,capelca01,NBA,2017-18,Europe,Switzerland,Geneva,22,,,,37.0
Giannis Antetokounmpo,antetgi01,NBA,2020-21,Europe,Greece,Athens,72,,,,69.0
José Calderón,caldejo01,NBA,2007-08,Europe,Spain,Villanueva de la Serena,22,,,,22.0
Carlos Boozer,boozeca01,NBA,2007-08,Europe,Germany,Aschaffenburg,72,,,,37.0
Hakeem Olajuwon,olajuha01,NBA,1984-85,Africa,Nigeria,Lagos,72,,,,10.0
Marc Gasol,gasolma01,NBA,2014-15,Europe,Spain,Barcelona,72,,,,22.0
Luka Dončić,doncilu01,NBA,2022-23,Europe,Slovenia,Ljubljana,72,,,,68.0
Peja Stojaković,stojape01,NBA,2000-01,Europe,Croatia,Slavonska Pozega,22,,,,68.0
Peja Stojaković,stojape01,NBA,2002-03,Europe,Croatia,Slavonska Pozega,72,,,,68.0
Toni Kukoč,kukocto01,NBA,1995-96,Europe,Croatia,Split,22,,,,68.0
Al Horford,horfoal01,NBA,2010-11,North America,Dominican Republic,Puerto Plata,72,,,,17.0
Nikola Vučević,vucevni01,NBA,2018-19,Europe,Switzerland,Morges,72,,,,37.0
Tim Duncan,duncati01,NBA,2008-09,North America,United States Virgin Islands,St. Croix,72,,,,3.0
Patrick Ewing,ewingpa01,NBA,1990-91,North America,Jamaica,Kingston,72,,,,3.0
Toni Kukoč,kukocto01,NBA,1994-95,Europe,Croatia,Split,22,,,,68.0
Dikembe Mutombo,mutomdi01,NBA,1999-00,Africa,DR Congo,Kinshasa,72,,,,57.0
Luol Deng,denglu01,NBA,2010-11,Africa,South Sudan,Wau,22,,,,13.0
Carlos Boozer,boozeca01,NBA,2009-10,Europe,Germany,Aschaffenburg,22,,,,37.0
Peja Stojaković,stojape01,NBA,2001-02,Europe,Croatia,Slavonska Pozega,72,,,,68.0
Steve Nash,nashst01,NBA,2001-02,Africa,South Africa,Johannesburg,72,,,,16.0
Steve Nash,nashst01,NBA,2009-10,Africa,South Africa,Johannesburg,72,,,,16.0
Carlos Boozer,boozeca01,NBA,2006-07,Europe,Germany,Aschaffenburg,72,,,,37.0
Manu Ginóbili,ginobma01,NBA,2010-11,South America,Argentina,Bahia Blanca,72,,,,26.0
Kiki Vandeweghe,vandeki01,NBA,1985-86,Europe,Germany,Wiesbaden,22,,,,37.0
Nikola Jokić,jokicni01,NBA,2019-20,Europe,Serbia,Sombor,72,,,,68.0
Detlef Schrempf,schrede01,NBA,1991-92,Europe,Germany,Leverkusen,22,,,,37.0
Dominique Wilkins,wilkido01,NBA,1987-88,Europe,France,Paris,72,,,,22.0
Patrick Ewing,ewingpa01,NBA,1996-97,North America,Jamaica,Kingston,72,,,,3.0
Hakeem Olajuwon,olajuha01,NBA,1991-92,Africa,Nigeria,Lagos,72,,,,10.0
Rolando Blackman,blackro01,NBA,1983-84,North America,Panama,Panama City,22,,,,19.0
Arvydas Sabonis,sabonar01,NBA,1997-98,Europe,Lithuania,Kaunas,21,,,,68.0
Steven Adams,adamsst01,NBA,2017-18,Oceania,New Zealand,Rotorua,21,,,,13.0
Nikola Jokić,jokicni01,NBA,2016-17,Europe,Serbia,Sombor,21,,,,68.0
