Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Rees Odhiambo,G,Nairobi,2016,2018,0,0,0,4,16,,,,0,,,,,,,0,,,,0,,OdhiRe00
2,Daniel Adongo,LB,Nairobi,2013,2015,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,AdonDa00
