city_coords,sf_distance,ny_distance
"42.7098295,18.3457261",10250.789099553866,7267.7574061953
"18.4801972,-69.942111",5498.987498015974,2495.017540803536
"50.1106444,8.6820917",9156.786688419204,6219.478474281531
"41.8933203,12.4829321",10071.439880871028,6907.161680047216
"14.6776144,-60.939021",6527.60574951623,3151.544599854789
"36.6468015,137.2183531",8406.788396556984,10867.13822189128
"46.509144,15.0790677",9755.440525372202,6824.801443580946
"14.693425,-17.447938",10290.388530243988,6151.6458881582475
"-38.661326,178.0206487",10430.06713871795,14019.40086640647
"57.5389148,25.4261688",9022.528717894293,6809.888687930578
"12.712697550000001,-61.32636055556412",6621.422262002324,3340.846531435822
"52.131802,-106.660767",2013.61208042974,2780.6635986463352
"8.5344438,28.0984675",14038.45308325052,10403.209741387662
"-25.537583,152.7019182",11283.197294258807,15413.365104490447
"52.2646577,10.5236066",9040.186778875215,6237.129015892547
"10.5060934,-66.9146008",6285.936630993451,3418.851779910961
"46.5576439,15.6455854",9773.95374535455,6859.59971074413
"48.8264842,2.1257808",8967.746758513727,5838.743201929834
"-22.821635,-42.99567968770695",10660.321955050247,7731.490665511638
"41.7369418,45.3260554",11111.943257305067,9024.739693681611
"16.2706436,-61.5057749",6376.473862459296,2965.2274066237933
"50.0385812,15.7791356",9450.531088285656,6676.7010042953825
"32.01599895,34.78595635978459",11925.80178405566,9140.493299620446
"4.7676576,7.0188527",12990.160059932128,8910.633933402807
"43.9030925,22.2785536",10287.047330474388,7456.9852536278895
"50.4500336,30.5241361",9878.88158472858,7531.8211041137965
"-22.2343858,-45.9327241",10384.5389236123,7550.398559813378
"-32.3746009,-63.4550363",9883.04395454934,8164.551446586318
"41.1170203,20.8017387",10504.505172485322,7535.788183903199
"45.6712544,18.9817862",9990.304667744098,7130.911313610554
"45.2551338,19.8451756",10063.6207189408,7212.727729382199
"18.2011161,-67.1391124",5761.487395641428,2580.6125870703377
"21.5119156,-104.8915889",2467.098090984387,3603.2862239577935
"32.6882909,35.5733669",11878.309067321192,9142.54167062439
"45.4401467,4.3873058",9365.657778404642,6146.085904558227
"42.0979745,19.0954528",10340.414083200232,7356.843051180589
"-31.4166867,-64.1834193",9758.221055129648,8049.693358075151
"51.9244424,4.47775",8815.350154371807,5869.413213018566
"49.643101,30.788839",9969.482151204067,7601.700752937343
"54.983006700000004,73.37452243916528",9616.5715296839,8957.726349995082
"36.4968705,8.7763973",10375.685020637498,6946.37238300308
"50.4870325,1.6244100033928586",8805.511064718667,5738.836758563601
"-36.7590183,144.2826718",12638.107763027008,16691.818425358146
"41.54309,45.0112804",11128.638145036792,9023.15892542696
"-19.9227318,-43.9450948",10382.714224762076,7398.682988016242
"15.5635972,32.5349123",13549.4937562797,10231.51756995784
"43.8519774,18.3866868",10142.51344586178,7200.946328978985
"6.3330586,5.6221058",12758.024555141608,8680.618122448528
"-37.8768611,145.0691707",12640.31296080825,16665.23884519661
"43.5896231,-79.6443879",3632.1658929795226,564.8572328525747
"-33.8698439,151.2082848",11934.612541207982,15988.140761985169
"13.8001844,-10.22455481493909",10942.05825533675,6817.657282641412
"18.4466626,-66.0686837",5840.162578661269,2582.3937797991234
"35.2730564,139.6653829",8318.426596066698,10915.660706698163
"18.0431254,-77.50741",4872.283890945985,2535.2249569903743
"-33.7455871,-61.9686068",10088.904651394754,8336.254101195542
"45.84264135,15.962231476593626",9854.392242232145,6921.191751551175
"8.179364,32.1528986",14277.109092469644,10759.446662344984
"4.9371544,-52.3258736",7929.758727655763,4516.269328101689
"47.7467233,7.3389937",9306.283861271644,6241.289641237137
"42.64873625,18.094680152605108",10246.352374372773,7254.321174459143
"48.8012045,2.4309703",8984.6196727941,5860.597153979895
"16.2408636,-61.5334077",6375.923812596866,2967.213211159666
"-6.8160837,39.2803583",16114.354755094451,12461.2320801789
"50.5955595,36.5873394",10001.72180664188,7854.129737006946
"30.0443879,31.2357257",12014.443063517783,9040.996810544604
"35.4443947,139.6367727",8309.439592247118,10899.543041933435
"42.3102619,13.95759010584892",10100.178094843028,6987.396540477934
"43.99973,-79.467545",3642.843017977864,579.2304316747592
"50.8550018,4.3512333761166175",8900.810848109732,5904.319016467541
"52.6362,-1.1331969",8500.226453397023,5481.548703608229
"40.5683808,-3.2627134",9354.011800366909,5809.421741587222
"38.7077507,-9.1365919",9138.70578884037,5436.339280538223
"44.6086674,10.594066675914796",9736.093250374804,6623.78950539129
"50.4302393,7.466302",9075.932952350266,6125.84634045794
"45.5479864,13.7304781",9788.84178081782,6787.902145081259
"28.2935785,-16.621447121144122",9382.490996020855,5349.28906598076
"33.5945144,-7.6200284",9628.16744413449,5810.055472074159
"49.8349139,18.2820084",9562.496083119471,6844.091458350634
"43.5515198,7.0134418",9659.933696427952,6426.480244369758
"50.4637381,11.5372317",9244.416578915654,6386.500630360142
"32.0852997,34.7818064",11918.395210376731,9134.91304391397
"57.3131712,25.2748551",9041.393606371465,6815.208088969869
"49.1460165,31.2271744",10032.441502301805,7660.856805433799
"51.2151749,-0.7984854",8630.296079110913,5551.07319063178
"16.2328276,-61.7896133",6353.925961099291,2958.1189098559216
"41.9961816,21.4319213",10443.066079845412,7522.3882340241535
"40.190632,116.412144",9501.727939653376,10982.944693146204
"-23.5324859,-46.7916801",10408.288520086351,7649.932711985449
"48.1371079,11.5753822",9458.322484779772,6505.548721317215
"-8.8272699,13.2439512",14545.458099993592,10415.122224770656
"59.4372155,24.7453688",8814.60907635024,6667.913646450176
"41.9302021,2.2545943",9553.430551365487,6160.878979533725
"44.2708719,19.8863297",10160.964795757747,7275.735015612405
"38.4185042,27.1290835",11011.784244339671,8148.63526825938
"41.3812851,2.0446381",9588.24639689201,6172.432966738751
"64.145981,-21.9422367",6772.667876335147,4212.049588489004
"50.304864,2.763456",8874.28632402267,5821.775140609358
"31.1991806,29.8951716",11847.566413867387,8859.833549522164
"30.6350817,120.3572979",10021.592426781332,11968.113663776108
"0.4086518,9.4418849",13525.609606556032,9428.938050413197
"45.3802683,20.3907614",10071.968050101272,7240.806877649296
"58.5909124,16.1903511",8657.96051515954,6273.625800806703
"43.6435559,-79.5656326",3638.014284297676,562.785714636425
"42.9832406,-81.243372",3508.3351354081215,651.5179901804879
"-36.852095,174.7631803",10485.870516053335,14186.083255634843
"54.6870458,25.2829111",9306.166941895292,6970.42013451096
"52.383705750000004,4.643559696559635",8783.50398177256,5861.880902755777
"35.1746503,33.3638783",11551.57675358783,8804.847292908338
"46.3239233,-0.4646064",9044.112411723165,5761.755868968776
"44.841225,-0.5800364",9159.168592044976,5816.845070285886
"50.8331141,4.3668279",8903.382231240808,5906.2364460511735
"9.3553005,-79.8974085",5290.654852546737,3522.538383313782
"43.8602746,16.1557855",10050.098702450994,7049.1491229839785
"43.685832,-79.7599366",3622.018632192915,578.4767480718332
"53.0528092,8.6294626",8893.429410027915,6084.584077083786
"-10.3333333,-53.2",8938.854563440385,6043.156015122285
"18.368212800000002,-77.60436149488739",4842.835789989178,2500.766582599537
"55.6867243,12.5700724",8806.620599180895,6204.716499205919
"49.261277,13.9025043",9450.463572868555,6598.826395311447
"48.7358807,1.3684254",8938.389063150338,5790.66941829998
"49.4938975,0.1079732",8814.124073781935,5674.782813227318
"48.4680221,35.0417711",10195.213669910992,7924.87133226384
"31.3230637,48.67932",12299.267211194214,10096.351798528518
"49.226766,17.6667415",9598.410734246088,6839.855026135772
"43.6612012,7.1513834",9657.079886542837,6430.701558157648
"60.1674881,24.9427473",8746.191055741197,6637.044152347784
"49.4093582,8.694724",9219.71503501518,6253.09229266355
"-28.4593692,-62.8359481",9606.21202922944,7744.490576658063
"39.5560869,21.7678844",10696.085117109282,7703.62122956195
"48.0158753,37.8013407",10301.8290009175,8111.37962492865
"43.1133536,17.705039",10185.728435741335,7199.429250029592
"51.1733518,10.0680632",9120.03450683306,6259.089203550337
"7.3777462,3.8972497",12543.079136021037,8460.41991980062
"48.8437412,2.219344",8970.832653700003,5844.412603908263
"22.6203348,120.3120375",10655.743780009769,12838.84603485284
"44.4056615,0.7046455",9263.515741494582,5929.647768352332
"38.0546653,23.8081533",10925.027207492729,7945.395333658719
"45.7762844,12.0452878",9694.736405724969,6661.0469633336
"42.9922181,-79.2484192",3670.2545943870023,503.46277776741726
"25.08845335,-76.13458356483177",4568.729085231031,1744.072818486793
"14.582622,-17.034832",10332.296794714042,6193.759644869054
"46.4843023,30.7322878",10296.163247771845,7816.380806242156
"46.2432913,14.3549353",9750.40068893307,6791.367460619315
"17.1184569,-61.8448509",6293.518145003229,2864.678303007733
"51.0538286,3.7250121",8855.506929956791,5855.285943206003
"28.5000001,-106.0000001",1840.8738037448843,3208.4552387814165
"-30.0324999,-51.2303767",10539.332748755627,8177.09411939288
"9.5170602,-13.6998434",10972.40156045843,6833.669580156738
"-22.9110137,-43.2093727",10649.322280236202,7731.345700841919
"48.8003835,2.2630238",8976.573261935284,5849.180631943972
"43.889219499999996,20.35212520894438",10216.080784183583,7330.339558510047
"-35.2841955,138.6261912384653",13001.850163045245,17112.021096804212
"22.4065829,-79.9650993",4387.175270216686,2105.8239151945104
"44.7313612,18.0847183",10045.859822859478,7127.763886168154
"-0.7151966,8.7787919",13563.61728087124,9454.31186415557
"-25.4295963,-49.2712724",10351.63300447057,7756.7576008976175
"-37.5623013,143.8605645",12715.174273972194,16755.952888014395
"43.167205949999996,11.467561040475552",9907.54352232997,6763.497316074677
"6.8137426,-58.1624465",7293.976789114781,4072.4895048825942
"10.3825318,7.8533226",12590.15271467983,8581.778649494563
"55.8455828,-4.4239646",8096.866869557537,5185.341823466827
"-36.7148099,142.2018105",12796.878837884777,16865.55458479459
"58.6124279,82.0475315",9083.783341287904,8775.119742218967
"12.649319,-8.000337",11205.68421407593,7084.968396040056
"44.648618,-63.5859487",4884.772829331423,958.4412312988292
"39.4697065,-0.3763353",9611.32280979676,6084.347837349912
"-34.9058916,-56.1913095",10556.6849269653,8569.542434160143
"14.7948093,-16.9529272",10323.855169191109,6185.630451343591
"11.4194313,-7.4833878",11339.544525070316,7214.952253293407
"15.22721825,-23.156301397162373",9778.25033801876,5643.259905752548
"44.8146563,15.86896",9947.786238603643,6974.042151322715
"55.625578,37.6063916",9482.669129570826,7540.002310039192
"3.7990131,10.1265567",13302.299087959444,9242.641774092714
"-38.1946441,146.5382327",12546.99473659243,16552.97234474232
"5.5571096,-0.2012376",12367.037647371591,8245.55749562431
"43.5828497,19.5258167",10213.784490702634,7294.048902400536
"57.3903918,21.5635991",8933.321494851203,6617.56426573267
"45.9964655,13.0258433",9717.044003748782,6715.619749628913
"42.3167397,-83.0373389",3367.841701966644,774.2565601483038
"49.6112768,6.129799",9088.234024150604,6074.534519915394
"18.1393105,-66.2663961",5841.81028636515,2609.7615531451197
"53.3493795,-6.2605593",8197.98939041304,5128.493640568611
"44.1015097,-79.4914772",3640.127034069618,587.6454203990612
"18.2345399,-66.0351316",5856.199482556776,2605.9712753597064
"45.5548793,18.6953685",9990.50938715732,7119.046748788662
"19.5043228,-99.1998643",3025.7463218016055,3356.107641004372
"51.937228,6.1275981",8886.377872786281,5974.543123935828
"18.3808516,-65.9570244",5854.017851265621,2592.568266309873
"19.733683399999997,-72.22240638795415",5222.467291371855,2331.9810879653965
"34.0000001,113.9999999",10156.213981485367,11691.154059892122
"-21.7609533,-43.3501129",10558.53603716589,7609.514841317834
"37.5666791,126.9782914",9049.719591163122,11077.352158965748
"59.9133301,10.7389701",8360.643479476366,5930.216928015797
"45.1465631,17.2551445",9972.905832417477,7047.766633486347
"18.465299,-66.116666",5834.803826500135,2579.0594522005317
"49.3165553,8.433615",9216.56336140108,6240.273192271688
"43.7729744,-79.2576479",3661.591997292095,550.6392472466454
"46.0345572,4.0729178",9299.158433521432,6096.04916994575
"11.0101922,-74.8231794084391",5582.105078317981,3292.0657706825814
"55.7127529,21.1350469",9085.468501818526,6685.242506972617
"42.8238387,19.5218005",10287.272916113558,7340.770224763191
"-27.4689682,153.0234991",11383.918369812109,15501.198650718165
"50.9524769,1.8538446",8777.686643271833,5736.246955080865
"-20.848084,-41.11129",10677.978905490188,7618.274508291948
"18.42105685,-64.63883251023499",5967.294873981169,2628.533407868509
"6.1914,7.2316",12890.64110394316,8826.700218231128
"48.1762534,-2.7535644",8775.500858967496,5526.6410231684295
"54.679230399999994,23.20044055881676",9248.252647771618,6856.823727954545
"48.4283182,-123.364953",1186.0152439995804,3941.6675927113865
"-25.9467092,-60.6200235",9557.488634571208,7508.484516984121
"18.34290815,-64.91889970060265",5947.498093303461,2627.7786185941436
"48.2163194,18.6000869",9730.066464389083,6956.409969520561
"18.5116478,-69.4799563",5537.395052056806,2498.8474222554973
"43.1363535,20.5112273",10295.7299754428,7388.007802981116
"18.4272786,-68.9734597",5586.906638731922,2516.8886591292253
"54.96781445,82.95159894278376",9447.64286959057,9178.383062192584
"11.8948389,8.5364136",12511.565775025863,8533.0510835526
"9.0643305,7.4892974",12673.516513349256,8644.155607119115
"39.6383092,22.4160706",10713.64482221209,7743.068210860988
"-20.720278,-47.886667",10121.65802686337,7318.836785646482
"45.7669109,11.7343469",9681.908271791624,6640.366163710411
"23.135305,-82.3589631",4136.61233879316,2100.540248697647
"50.9929303,7.1277379",9011.865207879624,6079.006512478821
"45.7578137,4.8320114",9360.352209589068,6162.437669375198
"45.4208777,-75.6901106",3929.594978638298,540.6924850936102
"44.1088502,-79.1226768",3669.5212467429424,565.2144635867052
"51.264018,7.1780374",8990.299000205754,6070.421464305902
"45.6072875,4.0627318",9335.18183617162,6115.2468007088555
"42.4517622,18.5367516",10283.457679022831,7296.674624359364
"35.33908,25.1332843",11247.814778514052,8224.774027214458
"59.3251172,18.0710935",8645.109797896497,6337.594188692824
"15.4240429,-61.34185329351388",6444.516082881824,3058.882425515115
"48.584614,7.7507127",9251.09454984214,6229.359881029773
"52.2319581,21.0067249",9422.750764181164,6872.519717694947
"39.0000001,116.0",9623.048666822107,11118.721477345936
"40.990992,29.0254305",10812.935313525144,8094.38269549186
"51.530018,46.034683",10046.85199382892,8257.639006222362
"32.09062415,34.883981280656116",11920.912825656624,9141.49271932857
"44.8702281,13.8455311",9856.849516538185,6833.5069631401675
"4.8459246,31.5959173",14580.048409868155,10963.639006622345
"35.5120831,24.0191544",11186.28649626796,8133.6828394790355
"43.3565611,19.3584715",10229.125202235948,7296.746347756806
"47.0617293,-0.8801359",8962.386087891891,5701.851895967454
"43.4597045,19.8154494",10237.112006559168,7321.117906567094
"42.836654499999995,25.51485631588696",10508.536145658123,7738.77756720004
"41.20351925,14.116862382970815",10210.519949599007,7063.419443921199
"50.9025349,-1.404189",8626.060647216162,5521.537964620008
"19.688282800000003,-71.30872583815878",5305.029108292339,2344.918689209182
"10.2375144,-67.5890216",6246.817269013788,3435.217719917728
"23.0469236,-81.5783032",4209.343988730885,2083.684407610835
"22.1459864,-80.4530775",4360.627997316466,2146.3656742233275
"19.2972812,-70.2533206",5421.250939481105,2400.911050217246
"19.058468,-70.1533738",5444.688058770725,2428.531792962141
"10.6498095,-71.6443596",5873.938468978657,3339.044305590824
"32.4517957,-114.7652542",913.5269531688645,3725.663512733226
"19.335767099999998,-71.43906734320726",5315.296870099739,2382.443234904624
"31.7372575,-106.485655",1602.3768797632729,3064.6849807916387
"20.4345462,-102.7790812",2699.351084871336,3530.7180410993947
"8.74074955,-82.38538320011986",5142.39703818123,3637.8638864729505
"22.9802415,-82.549536",4129.426081496701,2123.3701284298336
"10.6000384,-66.9296405",6278.181105361483,3408.3347965514613
"19.4503932,-70.6909047",5373.597312643443,2378.223689941
"49.2433804,-122.972545",1274.9564111409056,3904.0960856228926
"43.9515755,-78.2939704",3737.136319719731,504.16610738299175
"10.466288,-66.6078417",6314.962872571511,3429.4634445073534
"18.3974229,-66.050111",5844.827616102689,2588.169554089326
"8.2420503,-80.5390601",5325.457991945674,3655.065539731032
"18.4445314,-66.387587",5812.314362004412,2573.8216442373996
"27.4846619,-109.9337782",1632.5637314401406,3593.30167681006
"52.776186,-108.300476",1993.7916664801771,2906.070749005056
"12.110006949999999,-68.9370850600204",6002.703196794683,3208.056130125911
"18.432172700000002,-70.0310060487165",5494.220913027772,2498.971746387933
"18.2777204,-70.3320746",5477.6068067482665,2511.7075088952615
"18.1714805,-71.20953",5407.8371212940565,2513.031803305705
"18.5767929,-70.8334767",5415.1961698567175,2472.5364385029015
"18.4936515,-69.8383703",5507.207530159127,2495.1092010403445
"18.1502554,-65.8264835",5879.717161510366,2620.868078773281
"9.315429349999999,-75.42832991993517",5655.216221664158,3481.3793355474186
"10.2388567,-66.6722608",6325.1133324339235,3452.827213130948
"10.2028617,-64.6307626",6502.917509981552,3504.278595762745
"26.604877600000002,-109.23206266403821",1751.5632551615452,3590.4836481770067
"18.011564,-66.613958",5819.269926239643,2614.2116970315137
"17.9769779,-66.2980187",5849.109372306544,2626.2754887067567
"12.67926225,-86.16422068050134",4542.193006029701,3325.8173443318983
"10.4677932,-68.0436682",6192.051175911091,3402.0951229811963
"10.233772,-64.5931668",6504.042778628074,3501.935179536874
"21.3791765,-77.9183681",4626.51811104411,2175.26849784488
"10.4684588,-66.5431115",6320.3630027940035,3430.586148774384
"27.02657005,-109.40226682750367",1705.5454857177908,3577.9015032876146
"10.170026,-68.0003987",6216.4077280247175,3435.36768465936
"10.1325951,-64.6819583",6503.316018130115,3510.5070855274316
"18.0533063,-67.05632995677541",5777.918897998228,2598.5546525728237
"18.36758085,-67.22817855298908",5743.369825871454,2560.5160106751377
"22.762315,-81.4467334",4237.683280990488,2109.5319541139374
"22.312446950000002,-83.93893860318403",4050.697537198029,2244.1026302922114
"24.7978965,-107.393395",2023.759276423036,3560.774889872648
"21.08870445,-76.81216477200348",4740.158763825293,2191.922674941326
"10.9234859,-71.1863043",5893.3421223313935,3312.2958754894676
"27.4930466,-99.5074055",2424.206786696268,2756.750196830284
"7.98012775,-80.4489823725464",5352.865591776905,3682.10498285539
"59.254955,11.229781140849298",8436.14162987946,5981.290695812898
"43.975028,-78.616447",3711.128284150546,524.8568491803014
"18.5200904,-70.2076771",5473.321440500731,2486.8094552804314
"32.4225483,131.6244443",9099.912555125416,11491.005586044872
"8.8862119,-64.2488754",6626.315666520833,3655.6942258309823
"32.5317397,-117.019529",761.5614973978566,3912.258973615706
"18.364414,-95.7965793",3365.42275812866,3236.224722158961
"8.4001217,-82.5592327",5155.707726059098,3678.671379877854
"10.60316215,-66.99667670060362",6272.222785986822,3406.653982845401
"9.432191,-64.466834",6569.909551818327,3591.3552474531853
"45.5972309,8.6370679",9556.697314701169,6436.210983825156
"10.2276838,-67.3246357",6270.080706979857,3441.1757855050128
"22.40600335,-79.96883219807373",4386.886570313409,2105.9796261114807
"34.3917241,132.4517589",8901.56536259313,11259.449221896462
"22.4950028,-79.5448149",4418.332492325217,2086.1158493041685
"10.0567223,-65.0382607",6477.85903296305,3509.6609873924704
"19.0520669,-70.6316324",5403.299709975644,2422.746062801767
"10.3394796,-68.7417033",6141.487574043752,3404.976015483525
"18.05552175,-66.7206374616328",5807.190654302298,2606.74067316969
"10.6497208,-71.60074457195677",5877.619891817851,3339.355473268647
"18.5311367,-69.9060408",5498.965502387869,2489.976609780711
"18.7624731,-69.2562958",5541.39758956213,2475.259681359849
"10.0774374,-69.3222293",6110.485326807082,3425.5109532886845
"42.4057219,-82.1853837",3436.9124506487046,707.429993734072
"45.435114,-73.6837987",4085.854024480363,525.2763334203927
"45.4277659,-75.710976",3927.907962686578,541.8631478872061
"51.6195955,-3.9459248",8444.402668667886,5328.565294115206
"19.333333,-96.666667",3224.7489312285625,3204.3634512614744
"18.4271372,-66.4929477",5804.145565685153,2572.849866025865
"44.5014007,-79.7038708",3620.415792434098,628.7825287917562
"18.0352547,-66.8487055",5797.228904681138,2605.661708728057
"25.7928058,-108.990188",1835.291341120692,3622.963815397949
"10.5778608,-62.2992929",6678.959996888172,3531.9623173297523
"10.5421726,-62.4455922",6668.685424858481,3531.0769348096637
"35.8713,128.6018",9064.608933876028,11216.257277672348
"35.1799528,129.0752365",9082.256827070005,11276.593187541324
"18.9426446,-70.4414197474793",5426.67766629529,2437.2398447326204
"18.3990551,-66.1560326",5835.433210043827,2585.034223644641
"18.2533821,-70.1765104",5492.696707989511,2516.5063769363337
"50.1891272,-104.9049234",1959.6848540657545,2612.359558928425
"50.1985698,10.0746833",9208.036662652928,6305.524910062732
"25.5732473,-103.494779",2239.7694178161287,3199.6177460468884
"23.03714,-81.2025816",4242.443875258872,2072.979911759388
"18.8944704,-96.9352891",3239.2664550087047,3260.135008806959
"19.4873105,-70.6125659",5378.182268944353,2375.1710164253964
"28.96893455,-111.44731686054334",1410.9450427728186,3630.96798329264
"8.559559,-81.1308434",5254.386520587243,3631.3268867937086
"8.7735312,-82.6371606",5120.299980252534,3640.0773618548337
"10.4265566,-75.5441671",5564.463945652599,3359.059532302323
"53.5462055,-113.491241",1882.4356445756837,3263.333027685703
"10.1242269,-68.0983525",6211.245888562056,3438.7252828012515
"8.9624096,-71.9854755",5965.746036008237,3523.2589594904152
"21.5268861,-78.2258106",4590.899455689841,2164.269052536443
"19.14232925,-69.67775676074062",5481.111426931767,2426.643655186367
"18.8068129,-71.2276951",5366.494252071389,2442.857194950026
"49.0945296,-117.7097659",1313.4810541728853,3521.9066294657614
"45.421106,-75.425949",3950.204306296277,535.6735462024876
"20.3452734,-77.1199723",4759.118171251727,2277.3531358440505
